pdf,is_text_pdf,extracted_triplet,manifest_batch12,phase1_chunk,profile,status,detected_chapters,detected_appendices
Player s Handbook (2nd Edition) 2101.pdf,false,true,true,true,true,merge_ready,25,7
TSR Inc - AD&D 2nd Edition - Book of Artifacts.pdf,false,true,true,true,true,merge_ready,0,1
TSR Inc - AD&D 2nd Edition - DMGR1 - Campaign Sourcebook and Catacomb Guide.pdf,false,true,true,true,true,merge_ready,1,0
TSR Inc - AD&D 2nd Edition - DMGR2 - Castle Guide.pdf,false,true,true,true,true,merge_ready,7,0
TSR Inc - AD&D 2nd Edition - DMGR3 - Arms and Equipment Guide.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - DMGR3 - Arms and Equipment Guide_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - DMGR4 - Monster Mythology.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - DMGR4 - Monster Mythology_text.pdf,true,true,true,true,true,merge_ready,0,4
TSR Inc - AD&D 2nd Edition - DMGR5 - Creative Campaigning.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - DMGR5 - Creative Campaigning_text.pdf,true,true,true,true,true,merge_ready,7,0
TSR Inc - AD&D 2nd Edition - DMGR6 - The Complete Book of Villains.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - DMGR7 - The Complete Book of Necromancers.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - DMGR7 - The Complete Book of Necromancers_text.pdf,true,true,true,true,true,merge_ready,9,6
TSR Inc - AD&D 2nd Edition - DMGR8 - Sages and Specialists.pdf,false,true,true,true,true,merge_ready,4,0
TSR Inc - AD&D 2nd Edition - DMGR9 - Of Ships And Sea.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - DMGR9 - Of Ships And Sea_text.pdf,true,true,true,true,true,merge_ready,14,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ A Saga Companion.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ A Saga Companion_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Battle Lines Adventure 1 - The Sylvan Veil.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Battle Lines Adventure 1 - The Sylvan Veil_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Battle Lines Adventure 2 - Rise of the Titans.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Battle Lines Adventure 2 - Rise of the Titans_text.pdf,true,true,true,true,true,merge_ready,1,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Book Of Lairs.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Chaos Spawn.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Chaos Spawn_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Citadel of Light.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Citadel of Light_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Classics 15th Anniversary Edition.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLA1 - Dragon Dawn.pdf,false,true,true,true,true,merge_ready,14,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLA2 - Dragon Knight.pdf,false,true,true,true,true,merge_ready,12,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLA3 - Dragons Rest.pdf,false,true,true,true,true,merge_ready,6,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLC1 - Classics Volume 1.pdf,false,true,true,true,true,merge_ready,24,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLC2 - Classics Volume 2.pdf,false,true,true,true,true,merge_ready,16,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLC3 - Classics Volume 3.pdf,false,true,true,true,true,merge_ready,16,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLE1 - In Search of Dragons.pdf,false,true,true,true,true,merge_ready,8,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLE2 - Dragon Magic.pdf,false,true,true,true,true,merge_ready,8,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLE3 - Dragon Keep.pdf,false,true,true,true,true,merge_ready,3,5
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLQ1 - Knight's Sword.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLQ2 - Flints Axe.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLR1 - Otherlands.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLR2 - Taladas  The Minotaurs.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLR3 - Unsung Heroes.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLS1 - New Beginnings.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLS2 - Tree Lords.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLS3 - Oak Lords.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLS4 - Wild Elves.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ DLT1 - New Tales.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Dwarven Kingdoms of Krynn.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Fifth Age.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Fifth Age_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Heroes of Defiance.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Heroes of Hope.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Heroes of Sorcery.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Heroes of Sorcery_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Heroes of Steel.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ History of Dragonlance.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ History of Dragonlance_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ More Leaves from the Inn of the Last Home.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ More Leaves from the Inn of the Last Home_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Palanthas.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Palanthas_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Player's Guide to the Dragonlance Campaign.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Seeds of Chaos.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Seeds of Chaos_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Tales of the Lance.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ The Art of the Dragonlance Saga.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ The Bestiary.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ The Last Tower - Legacy of Raistlin.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Time of the Dragon Boxset.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ TM3 - World of Krynn Trail Map.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ TM3 - World of Krynn Trail Map_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Dragonlance_ Wings of Fury.pdf,false,true,true,true,true,merge_ready,0,0
